State,Party20
alabama,0
alaska,0
arizona,1
arkansas,0
california,1
colorado,1
connecticut,1
delaware,1
district of columbia,1
florida,0
georgia,1
hawaii,1
idaho,0
illinois,1
indiana,0
iowa,0
kansas,0
kentucky,0
louisiana,0
maine,1
maryland,1
massachusetts,1
michigan,1
minnesota,1
mississippi,0
missouri,0
montana,0
nebraska,0
nevada,1
new hampshire,1
new jersey,1
new mexico,1
new york,1
north carolina,0
north dakota,0
ohio,0
oklahoma,0
oregon,1
pennsylvania,1
rhode island,1
south carolina,0
south dakota,0
tennessee,0
texas,0
utah,0
vermont,1
virginia,1
washington,1
west virginia,0
wisconsin,1
wyoming,0
